class name, frequency
com.cloud.domain.dao.DomainDao,19,
com.cloud.dc.dao.DedicatedResourceDao,5,
com.cloud.dc.dao.DataCenterDao,15,
com.cloud.dc.dao.HostPodDao,5,
com.cloud.dc.dao.ClusterDao,5,
org.libvirt.Connect,44,
org.libvirt.Domain,15,
org.libvirt.MemoryStatistic,1,
com.cloud.hypervisor.kvm.resource.wrapper.LibvirtUtilitiesHelper,67,
org.libvirt.DomainInfo,4,
com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,9,
com.cloud.agent.api.to.VirtualMachineTO,33,
com.cloud.hypervisor.kvm.storage.KVMStoragePoolManager,44,
com.cloud.agent.api.to.NicTO,34,
com.cloud.agent.api.to.DiskTO,6,
com.cloud.hypervisor.kvm.resource.VifDriver,8,
com.cloud.hypervisor.kvm.resource.LibvirtVMDef.InterfaceDef,11,
com.cloud.hypervisor.kvm.resource.LibvirtVMDef.DiskDef,1,
com.cloud.vm.DiskProfile,5,
com.cloud.agent.api.to.StorageFilerTO,13,
com.cloud.hypervisor.kvm.storage.KVMStoragePool,42,
com.cloud.hypervisor.kvm.storage.KVMPhysicalDisk,25,
com.cloud.agent.api.to.DataStoreTO,5,
com.cloud.network.PhysicalNetworkSetupInfo,4,
com.cloud.hypervisor.kvm.resource.KVMHAMonitor,2,
com.cloud.hypervisor.kvm.resource.KVMHABase.NfsStoragePool,1,
com.cloud.agent.api.SecurityGroupRulesCmd.IpPortAndProto,8,
com.cloud.storage.StorageLayer,4,
com.cloud.storage.template.TemplateLocation,4,
com.cloud.storage.template.Processor,4,
com.cloud.storage.template.Processor.FormatInfo,3,
org.libvirt.StorageVol,2,
com.cloud.storage.resource.StorageSubsystemCommandHandler,2,
com.cloud.hypervisor.kvm.resource.LibvirtVMDef,7,
com.cloud.hypervisor.kvm.storage.LibvirtStoragePool,1,
com.cloud.hypervisor.kvm.storage.LibvirtStorageAdaptor,3,
org.libvirt.StoragePool,3,
org.libvirt.NodeInfo,1,
com.cloud.dc.ClusterDetailsDao,6,
com.cloud.hypervisor.vmware.dao.VmwareDatacenterDao,1,
com.cloud.hypervisor.vmware.dao.VmwareDatacenterZoneMapDao,1,
com.cloud.host.dao.HostDetailsDao,4,
com.cloud.cluster.ClusterManager,2,
com.cloud.secstorage.CommandExecLogDao,1,
com.cloud.network.dao.CiscoNexusVSMDeviceDao,2,
com.cloud.dc.dao.ClusterVSMMapDao,2,
com.cloud.hypervisor.vmware.dao.LegacyZoneDao,1,
com.cloud.cluster.dao.ManagementServerHostPeerDao,1,
com.cloud.server.ConfigurationServer,5,
com.cloud.hypervisor.dao.HypervisorCapabilitiesDao,1,
com.cloud.event.dao.EventDao,3,
com.cloud.storage.ImageStoreDetailsUtil,1,
com.cloud.storage.dao.VMTemplatePoolDao,2,
com.cloud.api.query.dao.TemplateJoinDao,1,
com.cloud.vm.dao.VMInstanceDao,6,
com.cloud.vm.dao.UserVmCloneSettingDao,1,
com.cloud.dc.dao.VsphereStoragePolicyDao,1,
com.cloud.vm.VMInstanceVO,22,
com.cloud.agent.api.MigrateWithStorageAnswer,4,
com.cloud.agent.api.Command,1,
com.cloud.agent.api.to.NfsTO,3,
com.cloud.storage.VMTemplateVO,16,
com.cloud.hypervisor.xenserver.resource.XsHost,19,
com.xensource.xenapi.SR,31,
com.xensource.xenapi.PBD,7,
com.xensource.xenapi.Host,8,
com.xensource.xenapi.Connection,61,
com.xensource.xenapi.SR.Record,2,
com.cloud.agent.api.StoragePoolInfo,2,
com.cloud.agent.api.StartupStorageCommand,1,
com.cloud.hypervisor.xenserver.resource.CitrixResourceBase,2,
com.cloud.agent.api.to.SwiftTO,3,
com.cloud.storage.VMTemplateStorageResourceAssoc,1,
com.cloud.host.HostEnvironment,3,
org.apache.xmlrpc.client.XmlRpcClient,1,
com.xensource.xenapi.Network,23,
com.cloud.hypervisor.xenserver.resource.XsLocalNetwork,7,
com.xensource.xenapi.PIF,1,
com.xensource.xenapi.PIF.Record,1,
com.cloud.hypervisor.xenserver.resource.wrapper.xenbase.XenServerUtilitiesHelper,3,
com.cloud.utils.Pair,2,
com.xensource.xenapi.Pool,1,
com.xensource.xenapi.Pool.Record,1,
com.xensource.xenapi.Host.Record,1,
com.xensource.xenapi.VM,1,
com.xensource.xenapi.VMGuestMetrics,1,
com.xensource.xenapi.VMGuestMetrics.Record,1,
com.cloud.agent.api.to.VolumeTO,10,
com.xensource.xenapi.VDI,7,
com.xensource.xenapi.VIF,2,
com.xensource.xenapi.Task,1,
com.cloud.utils.ExecutionResult,2,
com.cloud.utils.db.SearchBuilder,4,
com.cloud.utils.db.SearchCriteria,6,
com.cloud.kubernetes.version.KubernetesSupportedVersionVO,7,
com.cloud.api.query.vo.TemplateJoinVO,1,
com.cloud.kubernetes.cluster.KubernetesClusterVO,1,
org.apache.commons.httpclient.HttpClient,2,
org.apache.commons.httpclient.params.HttpClientParams,1,
org.apache.commons.httpclient.methods.GetMethod,5,
org.apache.commons.httpclient.methods.PostMethod,5,
org.apache.commons.httpclient.Header,4,
org.apache.commons.httpclient.methods.PutMethod,5,
org.apache.commons.httpclient.methods.DeleteMethod,3,
com.cloud.network.bigswitch.BigSwitchBcfApi,1,
com.cloud.network.bigswitch.ControlClusterStatus,3,
com.cloud.network.bigswitch.Capabilities,1,
com.cloud.network.bigswitch.NetworkData,2,
com.cloud.network.bigswitch.NetworkData.Network,2,
com.cloud.network.bigswitch.AttachmentData,2,
com.cloud.network.bigswitch.AttachmentData.Attachment,2,
com.cloud.configuration.ConfigurationManager,4,
com.cloud.network.dao.CiscoVnmcDao,1,
com.cloud.network.dao.CiscoAsa1000vDao,1,
com.cloud.network.dao.NetworkAsa1000vMapDao,1,
com.cloud.network.IpAddressManager,7,
com.cloud.utils.db.EntityManager,9,
com.cloud.offering.NetworkOffering,28,
com.cloud.deploy.DeployDestination,21,
com.cloud.domain.Domain,16,
com.cloud.vm.ReservationContext,21,
com.cloud.dc.DataCenter,16,
com.cloud.network.cisco.CiscoVnmcControllerVO,5,
com.cloud.network.cisco.CiscoAsa1000vDeviceVO,1,
com.cloud.network.cisco.NetworkAsa1000vMapVO,6,
com.cloud.dc.ClusterVSMMapVO,1,
com.cloud.network.CiscoNexusVSMDeviceVO,1,
com.cloud.utils.net.Ip,5,
com.cloud.network.addr.PublicIp,5,
com.cloud.dc.VlanVO,7,
com.cloud.network.IpAddress,3,
com.cloud.network.rules.FirewallRule,1,
com.cloud.network.rules.PortForwardingRule,1,
com.cloud.network.rules.StaticNat,1,
com.cloud.network.cisco.CiscoVnmcConnectionImpl,1,
com.cloud.network.as.AutoScaleService,1,
com.cloud.capacity.CapacityManager,4,
com.cloud.consoleproxy.ConsoleProxyManager,1,
com.cloud.consoleproxy.ConsoleProxyService,1,
com.cloud.storage.DataStoreProviderApiService,1,
com.cloud.deploy.DeploymentPlanner,2,
com.cloud.deploy.DeploymentPlanningManager,1,
com.cloud.acl.DomainChecker,1,
com.cloud.network.ExternalDeviceUsageManager,1,
com.cloud.region.ha.GlobalLoadBalancingRulesService,1,
com.cloud.ha.HighAvailabilityManager,1,
com.cloud.agent.manager.allocator.HostAllocator,1,
org.eclipse.jetty.security.IdentityService,1,
com.cloud.network.vpc.NetworkACLService,1,
com.cloud.network.NetworkUsageService,1,
com.cloud.agent.manager.allocator.PodAllocator,1,
com.cloud.server.ResourceMetaDataService,1,
com.cloud.network.vpn.Site2SiteVpnManager,3,
com.cloud.network.element.Site2SiteVpnServiceProvider,2,
com.cloud.storage.snapshot.SnapshotApiService,1,
com.cloud.storage.snapshot.SnapshotManager,1,
com.cloud.network.StorageNetworkManager,3,
com.cloud.network.StorageNetworkService,1,
com.cloud.server.TaggedResourceService,2,
com.cloud.template.TemplateApiService,1,
com.cloud.vm.snapshot.VMSnapshotManager,1,
com.cloud.network.element.FirewallServiceProvider,1,
com.cloud.network.element.PortForwardingServiceProvider,1,
com.cloud.network.element.NetworkACLServiceProvider,2,
com.cloud.network.element.VpcProvider,1,
net.juniper.contrail.api.ApiConnectorMock,1,
net.juniper.contrail.api.types.VirtualNetwork,4,
com.cloud.vm.DomainRouterVO,19,
com.cloud.vm.VirtualMachineProfile.Param,1,
com.cloud.network.dao.IPAddressVO,5,
com.cloud.dc.PodVlanMapVO,1,
com.cloud.agent.manager.Commands,6,
com.cloud.agent.api.check.CheckSshAnswer,2,
com.cloud.network.lb.dao.ElasticLbVmMapDao,1,
com.cloud.network.dao.PhysicalNetworkDao,7,
com.globo.globodns.client.api.DomainAPI,1,
com.globo.globodns.client.api.RecordAPI,1,
com.globo.globodns.client.api.ExportAPI,1,
com.cloud.network.router.NetworkHelper,1,
com.cloud.network.dao.VirtualRouterProviderDao,2,
com.cloud.network.dao.PhysicalNetworkServiceProviderDao,3,
com.cloud.network.lb.LoadBalancingRulesManager,4,
com.cloud.service.dao.ServiceOfferingDao,4,
com.cloud.offerings.dao.NetworkOfferingDao,2,
com.cloud.storage.dao.VMTemplateDao,3,
com.cloud.network.dao.NiciraNvpDao,2,
