project name, file path, num of dependency classes, num of mocked classes,
activemq,/activemq-web/src/test/java/org/apache/activemq/web/LocalBrokerFacadeTest.java,16,6,38%
airavata,/services-security/src/test/java/org/apache/airavata/service/security/KeyCloakSecurityManagerTest.java,31,8,26%
airavata,/services-security/src/test/java/org/apache/airavata/service/security/GatewayGroupsInitializerTest.java,18,3,17%
hbase,/hbase-asyncfs/src/test/java/org/apache/hadoop/hbase/util/TestRecoverLeaseFSUtils.java,13,3,23%
hbase,/hbase-balancer/src/test/java/org/apache/hadoop/hbase/favored/TestFavoredNodeAssignmentHelper.java,36,1,3%
hbase,/hbase-balancer/src/test/java/org/apache/hadoop/hbase/master/balancer/TestRegionHDFSBlockLocationFinder.java,37,3,8%
hbase,/hbase-balancer/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,34,5,15%
hbase,/hbase-balancer/src/test/java/org/apache/hadoop/hbase/master/balancer/TestBaseLoadBalancer.java,42,2,5%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestAsyncTableTracing.java,75,1,1%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestAsyncTableRpcPriority.java,56,1,2%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestAsyncAdminRpcPriority.java,44,0,0%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestImmutableScan.java,22,1,5%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestRetriesExhaustedWithDetailsException.java,12,1,8%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestClientExponentialBackoff.java,16,1,6%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/ipc/TestFailedServersLog.java,20,1,5%
hbase,/hbase-client/src/test/java/org/apache/hadoop/hbase/security/TestHBaseSaslRpcClient.java,45,9,20%
hbase,/hbase-common/src/test/java/org/apache/hadoop/hbase/TestChoreService.java,21,0,0%
hbase,/hbase-common/src/test/java/org/apache/hadoop/hbase/TestCellUtil.java,20,1,5%
hbase,/hbase-common/src/test/java/org/apache/hadoop/hbase/io/encoding/TestEncodedDataBlock.java,10,1,10%
hbase,/hbase-common/src/test/java/org/apache/hadoop/hbase/logging/TestJul2Slf4j.java,19,1,5%
hbase,/hbase-common/src/test/java/org/apache/hadoop/hbase/util/TestEnvironmentEdgeManager.java,13,1,8%
hbase,/hbase-examples/src/test/java/org/apache/hadoop/hbase/mapreduce/TestMapReduceExamples.java,33,2,6%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/field/TestFieldScreenPresenter.java,25,3,12%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/help/TestHelpScreenPresenter.java,15,2,13%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/mode/TestModeScreenPresenter.java,18,3,17%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/top/TestFilterDisplayModeScreenPresenter.java,20,2,10%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/top/TestInputModeScreenPresenter.java,21,3,14%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/top/TestMessageModeScreenPresenter.java,13,2,15%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/top/TestTopScreenModel.java,25,1,4%
hbase,/hbase-hbtop/src/test/java/org/apache/hadoop/hbase/hbtop/screen/top/TestTopScreenPresenter.java,23,2,9%
hbase,/hbase-http/src/test/java/org/apache/hadoop/hbase/http/TestHttpServer.java,63,4,6%
hbase,/hbase-http/src/test/java/org/apache/hadoop/hbase/http/TestHtmlQuoting.java,12,1,8%
hbase,/hbase-http/src/test/java/org/apache/hadoop/hbase/http/lib/TestStaticUserWebFilter.java,19,4,21%
hbase,/hbase-http/src/test/java/org/apache/hadoop/hbase/util/TestJSONBean.java,23,2,9%
hbase,/hbase-it/src/test/java/org/apache/hadoop/hbase/chaos/actions/TestChangeSplitPolicyAction.java,14,1,7%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestTableInputFormat.java,53,2,4%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestGroupingTableMap.java,29,3,10%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestRowCounter.java,25,4,16%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestTableSnapshotInputFormat.java,34,2,6%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestIdentityTableMap.java,15,4,27%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapred/TestDriver.java,10,1,10%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestMultiTableInputFormatBase.java,45,5,11%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestTableSnapshotInputFormat.java,50,1,2%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestImportExport.java,88,2,2%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestRegionSizeCalculator.java,23,4,17%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestWALInputFormat.java,14,1,7%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestGroupingTableMapper.java,16,2,13%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestRoundRobinTableInputFormat.java,22,1,5%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestWALPlayer.java,51,3,6%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestTableInputFormat.java,50,2,4%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestHFileOutputFormat2.java,114,3,3%
hbase,/hbase-mapreduce/src/test/java/org/apache/hadoop/hbase/mapreduce/TestTableInputFormatBase.java,40,5,13%
