"method"," origin"," count"
"then","org.mockito.stubbing.OngoingStubbing<java.util.Deque<java.lang.Long>>","3"
"forClass","org.mockito.ArgumentCaptor","19"
"rule","org.mockito.junit.MockitoJUnit","2"
"isMock","org.mockito.MockingDetails","2"
"mockingDetails","org.mockito.Mockito","2"
"anyList","org.mockito.ArgumentMatchers","20"
"reset","org.mockito.Mockito","11"
"capture","org.mockito.ArgumentCaptor<java.util.List<java.lang.Object>>","8"
"getAllValues","org.mockito.ArgumentCaptor<java.util.List<java.lang.Object>>","9"
"newSet","org.mockito.internal.util.collections.Sets","2"
"anyMap","org.mockito.ArgumentMatchers","2"
"doReturn","org.mockito.Mockito","12"
"mock","org.mockito.Mockito","1084"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.String>","147"
"when","org.mockito.Mockito","963"
"lenient","org.mockito.Mockito","20"
"any","org.mockito.ArgumentMatchers","79"
"getArgument","org.mockito.invocation.InvocationOnMock","7"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.reflect.Field>","1"
"verify","org.mockito.Mockito","381"
"openMocks","org.mockito.MockitoAnnotations","2"
"anyInt","org.mockito.ArgumentMatchers","24"
"times","org.mockito.Mockito","89"
"eq","org.mockito.ArgumentMatchers","38"
"anyString","org.mockito.ArgumentMatchers","7"
"doNothing","org.mockito.Mockito","2"
"spy","org.mockito.Mockito","59"
"doReturn","org.mockito.Mockito","317"
"initMocks","org.mockito.MockitoAnnotations","6"
"forClass","org.mockito.ArgumentCaptor","10"
"reset","org.mockito.Mockito","18"
"doAnswer","org.mockito.Mockito","1"
"getArguments","org.mockito.invocation.InvocationOnMock","1"
"newSet","org.mockito.internal.util.collections.Sets","1"
"anyListOf","org.mockito.Matchers","3"
"atLeast","org.mockito.Mockito","1"
"capture","org.mockito.ArgumentCaptor<java.util.List>","1"
"getValue","org.mockito.ArgumentCaptor<java.util.List>","1"
"mock","org.mockito.Mockito","244"
"forClass","org.mockito.ArgumentCaptor","3"
"verify","org.mockito.Mockito","4"
"eq","org.mockito.Matchers","6"
"when","org.mockito.Mockito","23"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.String>","8"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.String>","2"
"anyString","org.mockito.ArgumentMatchers","2"
"getArgument","org.mockito.invocation.InvocationOnMock","2"
"when","org.mockito.Mockito","100"
"verify","org.mockito.Mockito","7"
"times","org.mockito.Mockito","2"
"mock","org.mockito.Mockito","146"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.Integer>","49"
"any","org.mockito.ArgumentMatchers","12"
"spy","org.mockito.Mockito","6"
"doReturn","org.mockito.Mockito","1"
"eq","org.mockito.ArgumentMatchers","2"
"doAnswer","org.mockito.Mockito","8"
"getArguments","org.mockito.invocation.InvocationOnMock","6"
"anyString","org.mockito.ArgumentMatchers","6"
"never","org.mockito.Mockito","2"
"initMocks","org.mockito.MockitoAnnotations","6"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.Object>","130"
"when","org.mockito.Mockito","851"
"anyString","org.mockito.Matchers","10"
"verify","org.mockito.Mockito","894"
"times","org.mockito.Mockito","637"
"mock","org.mockito.Mockito","146"
"never","org.mockito.Mockito","5"
"doThrow","org.mockito.Mockito","3"
"any","org.mockito.ArgumentMatchers","1079"
"atLeast","org.mockito.Mockito","3"
"defaultAnswer","org.mockito.MockSettings","3"
"withSettings","org.mockito.Mockito","3"
"openMocks","org.mockito.MockitoAnnotations","21"
"eq","org.mockito.ArgumentMatchers","53"
"same","org.mockito.ArgumentMatchers","36"
"spy","org.mockito.Mockito","13"
"anyInt","org.mockito.ArgumentMatchers","5"
"useConstructor","org.mockito.MockSettings","2"
"argThat","org.mockito.ArgumentMatchers","2"
"forClass","org.mockito.ArgumentCaptor","1"
"capture","org.mockito.ArgumentCaptor<byte[]>","1"
"getValue","org.mockito.ArgumentCaptor<byte[]>","1"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.String>","2"
"getArgument","org.mockito.invocation.InvocationOnMock","3"
"isA","org.mockito.ArgumentMatchers","4"
"mock","org.mockito.Mockito","48"
"verify","org.mockito.Mockito","76"
"spy","org.mockito.Mockito","16"
"never","org.mockito.Mockito","2"
"times","org.mockito.Mockito","22"
"thenThrow","org.mockito.stubbing.OngoingStubbing<java.lang.String>","3"
"when","org.mockito.Mockito","3"
"spy","org.mockito.Mockito","3"
"verify","org.mockito.Mockito","26"
"never","org.mockito.Mockito","1"
"mock","org.mockito.Mockito","79"
"when","org.mockito.Mockito","187"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.Long>","21"
"forClass","org.mockito.ArgumentCaptor","5"
"doReturn","org.mockito.Mockito","108"
"verifyNoMoreInteractions","org.mockito.Mockito","3"
"any","org.mockito.ArgumentMatchers","12"
"getArguments","org.mockito.invocation.InvocationOnMock","4"
"times","org.mockito.Mockito","29"
"timeout","org.mockito.Mockito","3"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>","1"
"openMocks","org.mockito.MockitoAnnotations","12"
"mock","org.mockito.Mockito","1312"
"when","org.mockito.Mockito","868"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.String>","303"
"spy","org.mockito.Mockito","92"
"doNothing","org.mockito.Mockito","25"
"initMocks","org.mockito.MockitoAnnotations","18"
"verify","org.mockito.Mockito","435"
"times","org.mockito.Mockito","115"
"any","org.mockito.Matchers","169"
"argThat","org.mockito.Matchers","3"
"matches","org.mockito.Matchers","1"
"never","org.mockito.Mockito","9"
"forClass","org.mockito.ArgumentCaptor","10"
"atLeast","org.mockito.Mockito","1"
"anyLong","org.mockito.ArgumentMatchers","58"
"validateMockitoUsage","org.mockito.Mockito","1"
"eq","org.mockito.ArgumentMatchers","114"
"isNull","org.mockito.ArgumentMatchers","1"
"doAnswer","org.mockito.Mockito","12"
"capture","org.mockito.ArgumentCaptor<java.util.List<java.lang.String>>","1"
"getValue","org.mockito.ArgumentCaptor<java.util.List<java.lang.String>>","1"
"getArgument","org.mockito.invocation.InvocationOnMock","1"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.util.List<java.lang.String>>","11"
"anyInt","org.mockito.ArgumentMatchers","17"
"geq","org.mockito.AdditionalMatchers","1"
"getArguments","org.mockito.invocation.InvocationOnMock","10"
"isSpy","org.mockito.internal.util.MockUtil","1"
"isMock","org.mockito.internal.util.MockUtil","1"
"nullable","org.mockito.ArgumentMatchers","7"
"atLeastOnce","org.mockito.Mockito","2"
"callRealMethod","org.mockito.invocation.InvocationOnMock","2"
"atMost","org.mockito.Mockito","2"
"thenThrow","org.mockito.stubbing.OngoingStubbing<java.lang.String>","7"
"anyString","org.mockito.ArgumentMatchers","3"
"thenCallRealMethod","org.mockito.stubbing.OngoingStubbing<java.net.InetAddress>","1"
"doThrow","org.mockito.Mockito","19"
"anyDouble","org.mockito.ArgumentMatchers","5"
"newSet","org.mockito.internal.util.collections.Sets","2"
"anyObject","org.mockito.ArgumentMatchers","8"
"timeout","org.mockito.Mockito","1"
"anyCollection","org.mockito.ArgumentMatchers","2"
"getInternalState","org.mockito.internal.util.reflection.Whitebox","22"
"anyList","org.mockito.Matchers","4"
"anyListOf","org.mockito.Matchers","1"
"setInternalState","org.mockito.internal.util.reflection.Whitebox","4"
"inOrder","org.mockito.Mockito","4"
"endsWith","org.mockito.ArgumentMatchers","1"
"verifyNoMoreInteractions","org.mockito.Mockito","1"
